Title	IMDb Rating	Vote Count
The Shawshank Redemption	9.3	(3M)
The Godfather	9.2	(2.1M)
The Dark Knight	9.0	(3M)
The Godfather Part II	9.0	(1.4M)
12 Angry Men	9.0	(919K)
The Lord of the Rings: The Return of the King	9.0	(2.1M)
Schindler's List	9.0	(1.5M)
Pulp Fiction	8.9	(2.3M)
The Lord of the Rings: The Fellowship of the Ring	8.9	(2.1M)
The Good, the Bad and the Ugly	8.8	(849K)
Forrest Gump	8.8	(2.4M)
The Lord of the Rings: The Two Towers	8.8	(1.9M)
Fight Club	8.8	(2.4M)
Inception	8.8	(2.7M)
Star Wars: Episode V - The Empire Strikes Back	8.7	(1.4M)
The Matrix	8.7	(2.1M)
Goodfellas	8.7	(1.3M)
One Flew Over the Cuckoo's Nest	8.7	(1.1M)
Interstellar	8.7	(2.3M)
Se7en	8.6	(1.9M)
It's a Wonderful Life	8.6	(526K)
The Silence of the Lambs	8.6	(1.6M)
Seven Samurai	8.6	(382K)
Saving Private Ryan	8.6	(1.6M)
City of God	8.6	(834K)
The Green Mile	8.6	(1.5M)
Life Is Beautiful	8.6	(774K)
Terminator 2: Judgment Day	8.6	(1.2M)
Star Wars: Episode IV - A New Hope	8.6	(1.5M)
Back to the Future	8.5	(1.4M)
Spirited Away	8.6	(903K)
The Pianist	8.5	(963K)
Gladiator	8.5	(1.7M)
Parasite	8.5	(1.1M)
Psycho	8.5	(749K)
The Lion King	8.5	(1.2M)
Grave of the Fireflies	8.5	(344K)
The Departed	8.5	(1.5M)
Whiplash	8.5	(1.1M)
Harakiri	8.6	(79K)
American History X	8.5	(1.2M)
The Prestige	8.5	(1.5M)
Léon: The Professional	8.5	(1.3M)
Spider-Man: Across the Spider-Verse	8.5	(446K)
Casablanca	8.5	(629K)
The Usual Suspects	8.5	(1.2M)
The Intouchables	8.5	(973K)
Cinema Paradiso	8.5	(300K)
Modern Times	8.5	(272K)
Alien	8.5	(1M)
Rear Window	8.5	(544K)
Once Upon a Time in the West	8.5	(366K)
Django Unchained	8.5	(1.8M)
City Lights	8.5	(206K)
Apocalypse Now	8.4	(739K)
Dune: Part Two	8.5	(618K)
Memento	8.4	(1.4M)
WALL·E	8.4	(1.3M)
Raiders of the Lost Ark	8.4	(1.1M)
The Lives of Others	8.4	(426K)
Avengers: Infinity War	8.4	(1.3M)
Sunset Boulevard	8.4	(248K)
Spider-Man: Into the Spider-Verse	8.4	(724K)
Paths of Glory	8.4	(225K)
Witness for the Prosecution	8.4	(149K)
The Shining	8.4	(1.2M)
The Great Dictator	8.4	(248K)
12th Fail	8.8	(145K)
Aliens	8.4	(806K)
Inglourious Basterds	8.4	(1.7M)
The Dark Knight Rises	8.4	(1.9M)
Coco	8.4	(644K)
Amadeus	8.4	(447K)
Toy Story	8.3	(1.1M)
Avengers: Endgame	8.4	(1.3M)
Good Will Hunting	8.3	(1.1M)
Oldboy	8.3	(674K)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	8.3	(536K)
American Beauty	8.3	(1.2M)
Das Boot	8.4	(278K)
Braveheart	8.3	(1.1M)
Princess Mononoke	8.3	(457K)
Your Name.	8.4	(353K)
High and Low	8.4	(59K)
3 Idiots	8.4	(456K)
Joker	8.3	(1.6M)
Once Upon a Time in America	8.3	(393K)
Capernaum	8.4	(115K)
Singin' in the Rain	8.3	(271K)
Come and See	8.3	(110K)
Requiem for a Dream	8.3	(934K)
Toy Story 3	8.3	(927K)
Star Wars: Episode VI - Return of the Jedi	8.3	(1.2M)
The Hunt	8.3	(386K)
Ikiru	8.3	(96K)
Eternal Sunshine of the Spotless Mind	8.3	(1.1M)
2001: A Space Odyssey	8.3	(750K)
Reservoir Dogs	8.3	(1.1M)
The Apartment	8.3	(208K)
Incendies	8.3	(225K)
Lawrence of Arabia	8.3	(328K)
Scarface	8.3	(959K)
Double Indemnity	8.3	(174K)
North by Northwest	8.3	(359K)
Heat	8.3	(751K)
Citizen Kane	8.3	(479K)
Up	8.3	(1.2M)
M	8.3	(176K)
Full Metal Jacket	8.2	(818K)
Vertigo	8.3	(443K)
Amélie	8.3	(816K)
A Separation	8.3	(268K)
A Clockwork Orange	8.2	(908K)
To Kill a Mockingbird	8.3	(342K)
Die Hard	8.2	(986K)
Like Stars on Earth	8.3	(216K)
The Sting	8.3	(289K)
Indiana Jones and the Last Crusade	8.2	(835K)
Oppenheimer	8.3	(874K)
Metropolis	8.3	(193K)
Snatch	8.2	(942K)
1917	8.2	(722K)
L.A. Confidential	8.2	(639K)
Bicycle Thieves	8.2	(184K)
Downfall	8.2	(387K)
Dangal	8.3	(224K)
Taxi Driver	8.2	(973K)
Hamilton	8.3	(126K)
The Wolf of Wall Street	8.2	(1.7M)
Batman Begins	8.2	(1.6M)
Green Book	8.2	(629K)
For a Few Dollars More	8.2	(287K)
Judgment at Nuremberg	8.3	(91K)
The Truman Show	8.2	(1.3M)
Some Like It Hot	8.2	(294K)
Shutter Island	8.2	(1.5M)
The Kid	8.2	(141K)
The Father	8.2	(211K)
All About Eve	8.2	(144K)
There Will Be Blood	8.2	(667K)
Jurassic Park	8.2	(1.1M)
Casino	8.2	(589K)
The Sixth Sense	8.2	(1.1M)
Ran	8.2	(143K)
Top Gun: Maverick	8.2	(766K)
No Country for Old Men	8.2	(1.1M)
The Thing	8.2	(495K)
Pan's Labyrinth	8.2	(723K)
Unforgiven	8.2	(452K)
A Beautiful Mind	8.2	(1M)
Kill Bill: Vol. 1	8.2	(1.2M)
The Treasure of the Sierra Madre	8.2	(137K)
Prisoners	8.2	(865K)
Yojimbo	8.2	(137K)
Finding Nemo	8.2	(1.2M)
The Great Escape	8.2	(267K)
Howl's Moving Castle	8.2	(479K)
Monty Python and the Holy Grail	8.2	(586K)
The Elephant Man	8.2	(272K)
Dial M for Murder	8.2	(197K)
Gone with the Wind	8.2	(345K)
Rashomon	8.2	(189K)
Klaus	8.2	(212K)
Chinatown	8.1	(364K)
The Secret in Their Eyes	8.2	(231K)
Lock, Stock and Two Smoking Barrels	8.1	(633K)
V for Vendetta	8.1	(1.2M)
Inside Out	8.1	(861K)
Three Billboards Outside Ebbing, Missouri	8.1	(580K)
The Wild Robot	8.2	(156K)
The Bridge on the River Kwai	8.1	(241K)
Trainspotting	8.1	(747K)
Catch Me If You Can	8.1	(1.2M)
Raging Bull	8.1	(394K)
Fargo	8.1	(753K)
Warrior	8.1	(512K)
Harry Potter and the Deathly Hallows: Part 2	8.1	(992K)
Gran Torino	8.1	(836K)
Million Dollar Baby	8.1	(744K)
My Neighbor Totoro	8.1	(404K)
Mad Max: Fury Road	8.1	(1.2M)
Spider-Man: No Way Home	8.2	(943K)
Ben-Hur	8.1	(262K)
Barry Lyndon	8.1	(192K)
Children of Heaven	8.2	(85K)
Dead Poets Society	8.1	(587K)
12 Years a Slave	8.1	(762K)
Before Sunrise	8.1	(357K)
The Grand Budapest Hotel	8.1	(922K)
Blade Runner	8.1	(851K)
Hacksaw Ridge	8.1	(633K)
I'm Still Here	8.3	(100K)
Gone Girl	8.1	(1.1M)
Memories of Murder	8.1	(238K)
In the Name of the Father	8.1	(195K)
Ratatouille	8.1	(879K)
Monsters, Inc.	8.1	(1M)
The Gold Rush	8.1	(123K)
Wild Tales	8.1	(227K)
How to Train Your Dragon	8.1	(839K)
Sherlock Jr.	8.2	(61K)
Jaws	8.1	(691K)
Mary and Max	8.1	(195K)
The Deer Hunter	8.1	(374K)
The General	8.1	(102K)
Ford v Ferrari	8.1	(517K)
The Wages of Fear	8.1	(70K)
On the Waterfront	8.1	(171K)
Mr. Smith Goes to Washington	8.1	(125K)
Wild Strawberries	8.1	(120K)
Logan	8.1	(885K)
Rocky	8.1	(657K)
The Third Man	8.1	(189K)
Tokyo Story	8.1	(73K)
Maharaja	8.4	(66K)
The Big Lebowski	8.1	(887K)
Spotlight	8.1	(517K)
The Terminator	8.1	(960K)
The Seventh Seal	8.1	(207K)
Room	8.1	(466K)
Pirates of the Caribbean: The Curse of the Black Pearl	8.1	(1.3M)
La haine	8.1	(210K)
Jai Bhim	8.7	(225K)
Hotel Rwanda	8.1	(383K)
Platoon	8.1	(454K)
The Best Years of Our Lives	8.1	(74K)
Before Sunset	8.1	(301K)
The Exorcist	8.1	(475K)
The Passion of Joan of Arc	8.1	(64K)
The Wizard of Oz	8.1	(449K)
The Incredibles	8.0	(850K)
The Sound of Music	8.1	(275K)
Rush	8.1	(532K)
Hachi: A Dog's Tale	8.1	(326K)
Stand by Me	8.1	(462K)
Network	8.1	(178K)
My Father and My Son	8.2	(97K)
The Handmaiden	8.1	(187K)
The Iron Giant	8.1	(243K)
To Be or Not to Be	8.1	(46K)
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc	8.5	(31K)
The Battle of Algiers	8.1	(70K)
Into the Wild	8.1	(677K)
The Grapes of Wrath	8.1	(104K)
A Silent Voice: The Movie	8.1	(118K)
Groundhog Day	8.0	(713K)
The Help	8.1	(511K)
Amores Perros	8.0	(263K)
Rebecca	8.1	(155K)
Drishyam	8.2	(100K)
